drug,receptor_block,seed,pose_rank,vina_score_kcal_mol,rmsd_lb,rmsd_ub,source_file,rank1_score_kcal_mol,rank1_is_best,n_best_ties,n_poses_preserved,status,best_pose_rank,best_vina_score_kcal_mol,source_pdbqt
alprazolam,alpha1,2026091901,1,-10.585,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091901/poses.pdbqt,-10.585,True,1,8,ok,1,-10.585,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091901/poses.pdbqt
alprazolam,alpha1,2026091902,1,-10.575,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091902/poses.pdbqt,-10.575,True,1,7,ok,1,-10.575,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091902/poses.pdbqt
alprazolam,alpha1,2026091903,1,-10.589,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091903/poses.pdbqt,-10.589,True,1,7,ok,1,-10.589,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091903/poses.pdbqt
alprazolam,alpha1,2026091904,1,-10.581,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091904/poses.pdbqt,-10.581,True,1,7,ok,1,-10.581,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091904/poses.pdbqt
alprazolam,alpha1,2026091905,1,-10.574,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091905/poses.pdbqt,-10.574,True,1,6,ok,1,-10.574,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091905/poses.pdbqt
alprazolam,alpha2,2026091901,1,-7.657,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091901/poses.pdbqt,-7.657,True,1,9,ok,1,-7.657,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091901/poses.pdbqt
alprazolam,alpha2,2026091902,1,-7.65,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091902/poses.pdbqt,-7.65,True,1,9,ok,1,-7.65,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091902/poses.pdbqt
alprazolam,alpha2,2026091903,1,-7.656,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091903/poses.pdbqt,-7.656,True,1,9,ok,1,-7.656,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091903/poses.pdbqt
alprazolam,alpha2,2026091904,1,-7.657,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091904/poses.pdbqt,-7.657,True,1,9,ok,1,-7.657,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091904/poses.pdbqt
alprazolam,alpha2,2026091905,1,-7.66,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091905/poses.pdbqt,-7.66,True,1,9,ok,1,-7.66,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091905/poses.pdbqt
triazolam,alpha1,2026091901,1,-10.889,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt,-10.889,True,1,9,ok,1,-10.889,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt
triazolam,alpha1,2026091902,1,-10.873,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091902/poses.pdbqt,-10.873,True,1,8,ok,1,-10.873,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091902/poses.pdbqt
triazolam,alpha1,2026091903,1,-10.889,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091903/poses.pdbqt,-10.889,True,1,8,ok,1,-10.889,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091903/poses.pdbqt
triazolam,alpha1,2026091904,1,-10.871,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091904/poses.pdbqt,-10.871,True,1,9,ok,1,-10.871,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091904/poses.pdbqt
triazolam,alpha1,2026091905,1,-10.887,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091905/poses.pdbqt,-10.887,True,1,6,ok,1,-10.887,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091905/poses.pdbqt
triazolam,alpha2,2026091901,1,-6.901,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091901/poses.pdbqt,-6.901,True,1,9,ok,1,-6.901,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091901/poses.pdbqt
triazolam,alpha2,2026091902,1,-6.817,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091902/poses.pdbqt,-6.817,True,1,9,ok,1,-6.817,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091902/poses.pdbqt
triazolam,alpha2,2026091903,1,-6.82,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091903/poses.pdbqt,-6.82,True,1,9,ok,1,-6.82,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091903/poses.pdbqt
triazolam,alpha2,2026091904,1,-6.87,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091904/poses.pdbqt,-6.87,True,1,9,ok,1,-6.87,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091904/poses.pdbqt
triazolam,alpha2,2026091905,1,-6.806,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091905/poses.pdbqt,-6.806,True,1,9,ok,1,-6.806,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091905/poses.pdbqt
zolpidem,alpha1,2026091901,1,-10.365,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091901/poses.pdbqt,-10.365,True,1,9,ok,1,-10.365,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091901/poses.pdbqt
zolpidem,alpha1,2026091902,1,-10.348,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091902/poses.pdbqt,-10.348,True,1,9,ok,1,-10.348,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091902/poses.pdbqt
zolpidem,alpha1,2026091903,1,-10.359,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091903/poses.pdbqt,-10.359,True,1,9,ok,1,-10.359,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091903/poses.pdbqt
zolpidem,alpha1,2026091904,1,-10.374,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091904/poses.pdbqt,-10.374,True,1,9,ok,1,-10.374,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091904/poses.pdbqt
zolpidem,alpha1,2026091905,1,-10.35,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091905/poses.pdbqt,-10.35,True,1,9,ok,1,-10.35,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091905/poses.pdbqt
zolpidem,alpha2,2026091901,1,-7.499,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091901/poses.pdbqt,-7.499,True,1,9,ok,1,-7.499,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091901/poses.pdbqt
zolpidem,alpha2,2026091902,1,-7.528,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091902/poses.pdbqt,-7.528,True,1,9,ok,1,-7.528,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091902/poses.pdbqt
zolpidem,alpha2,2026091903,1,-7.545,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091903/poses.pdbqt,-7.545,True,1,9,ok,1,-7.545,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091903/poses.pdbqt
zolpidem,alpha2,2026091904,1,-7.522,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091904/poses.pdbqt,-7.522,True,1,9,ok,1,-7.522,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091904/poses.pdbqt
zolpidem,alpha2,2026091905,1,-7.525,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091905/poses.pdbqt,-7.525,True,1,9,ok,1,-7.525,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091905/poses.pdbqt
lorazepam,alpha1,2026091901,1,-8.499,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091901/poses.pdbqt,-8.499,True,1,9,ok,1,-8.499,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091901/poses.pdbqt
lorazepam,alpha1,2026091902,1,-8.496,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091902/poses.pdbqt,-8.496,True,1,9,ok,1,-8.496,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091902/poses.pdbqt
lorazepam,alpha1,2026091903,1,-8.546,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091903/poses.pdbqt,-8.546,True,1,9,ok,1,-8.546,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091903/poses.pdbqt
lorazepam,alpha1,2026091904,1,-8.524,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091904/poses.pdbqt,-8.524,True,1,9,ok,1,-8.524,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091904/poses.pdbqt
lorazepam,alpha1,2026091905,1,-8.494,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091905/poses.pdbqt,-8.494,True,1,9,ok,1,-8.494,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091905/poses.pdbqt
lorazepam,alpha2,2026091901,1,-6.861,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091901/poses.pdbqt,-6.861,True,1,9,ok,1,-6.861,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091901/poses.pdbqt
lorazepam,alpha2,2026091902,1,-6.882,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091902/poses.pdbqt,-6.882,True,1,9,ok,1,-6.882,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091902/poses.pdbqt
lorazepam,alpha2,2026091903,1,-6.819,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091903/poses.pdbqt,-6.819,True,1,9,ok,1,-6.819,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091903/poses.pdbqt
lorazepam,alpha2,2026091904,1,-6.848,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091904/poses.pdbqt,-6.848,True,1,9,ok,1,-6.848,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091904/poses.pdbqt
lorazepam,alpha2,2026091905,1,-6.813,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091905/poses.pdbqt,-6.813,True,1,9,ok,1,-6.813,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha2/2026091905/poses.pdbqt
clonazepam,alpha1,2026091901,1,-9.497,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091901/poses.pdbqt,-9.497,True,1,9,ok,1,-9.497,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091901/poses.pdbqt
clonazepam,alpha1,2026091902,1,-9.493,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091902/poses.pdbqt,-9.493,True,1,9,ok,1,-9.493,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091902/poses.pdbqt
clonazepam,alpha1,2026091903,1,-9.485,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091903/poses.pdbqt,-9.485,True,1,9,ok,1,-9.485,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091903/poses.pdbqt
clonazepam,alpha1,2026091904,1,-9.502,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091904/poses.pdbqt,-9.502,True,1,9,ok,1,-9.502,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091904/poses.pdbqt
clonazepam,alpha1,2026091905,1,-9.503,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091905/poses.pdbqt,-9.503,True,1,9,ok,1,-9.503,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha1/2026091905/poses.pdbqt
clonazepam,alpha2,2026091901,1,-6.875,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha2/2026091901/poses.pdbqt,-6.875,True,1,9,ok,1,-6.875,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha2/2026091901/poses.pdbqt
clonazepam,alpha2,2026091902,1,-6.873,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha2/2026091902/poses.pdbqt,-6.873,True,1,9,ok,1,-6.873,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha2/2026091902/poses.pdbqt
clonazepam,alpha2,2026091903,1,-6.879,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha2/2026091903/poses.pdbqt,-6.879,True,1,9,ok,1,-6.879,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha2/2026091903/poses.pdbqt
clonazepam,alpha2,2026091904,1,-6.87,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha2/2026091904/poses.pdbqt,-6.87,True,1,9,ok,1,-6.87,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha2/2026091904/poses.pdbqt
clonazepam,alpha2,2026091905,1,-6.871,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha2/2026091905/poses.pdbqt,-6.871,True,1,9,ok,1,-6.871,runs/20260919_0724_10drug_standardized_redocking/raw/archives/clonazepam.tar.gz::clonazepam/alpha2/2026091905/poses.pdbqt
midazolam,alpha1,2026091901,1,-10.754,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha1/2026091901/poses.pdbqt,-10.754,True,1,7,ok,1,-10.754,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha1/2026091901/poses.pdbqt
midazolam,alpha1,2026091902,1,-10.754,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha1/2026091902/poses.pdbqt,-10.754,True,1,9,ok,1,-10.754,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha1/2026091902/poses.pdbqt
midazolam,alpha1,2026091903,1,-10.745,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha1/2026091903/poses.pdbqt,-10.745,True,1,9,ok,1,-10.745,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha1/2026091903/poses.pdbqt
midazolam,alpha1,2026091904,1,-10.753,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha1/2026091904/poses.pdbqt,-10.753,True,1,9,ok,1,-10.753,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha1/2026091904/poses.pdbqt
midazolam,alpha1,2026091905,1,-10.731,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha1/2026091905/poses.pdbqt,-10.731,True,1,9,ok,1,-10.731,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha1/2026091905/poses.pdbqt
midazolam,alpha2,2026091901,1,-7.516,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha2/2026091901/poses.pdbqt,-7.516,True,1,9,ok,1,-7.516,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha2/2026091901/poses.pdbqt
midazolam,alpha2,2026091902,1,-7.546,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha2/2026091902/poses.pdbqt,-7.546,True,1,9,ok,1,-7.546,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha2/2026091902/poses.pdbqt
midazolam,alpha2,2026091903,1,-7.614,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha2/2026091903/poses.pdbqt,-7.614,True,1,9,ok,1,-7.614,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha2/2026091903/poses.pdbqt
midazolam,alpha2,2026091904,1,-7.661,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha2/2026091904/poses.pdbqt,-7.661,True,1,9,ok,1,-7.661,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha2/2026091904/poses.pdbqt
midazolam,alpha2,2026091905,1,-7.489,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha2/2026091905/poses.pdbqt,-7.489,True,1,9,ok,1,-7.489,runs/20260919_0724_10drug_standardized_redocking/raw/archives/midazolam.tar.gz::midazolam/alpha2/2026091905/poses.pdbqt
temazepam,alpha1,2026091901,1,-9.8,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/temazepam.tar.gz::temazepam/alpha1/2026091901/poses.pdbqt,-9.8,True,1,9,ok,1,-9.8,runs/20260919_0724_10drug_standardized_redocking/raw/archives/temazepam.tar.gz::temazepam/alpha1/2026091901/poses.pdbqt
temazepam,alpha1,2026091902,1,-9.787,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/temazepam.tar.gz::temazepam/alpha1/2026091902/poses.pdbqt,-9.787,True,1,9,ok,1,-9.787,runs/20260919_0724_10drug_standardized_redocking/raw/archives/temazepam.tar.gz::temazepam/alpha1/2026091902/poses.pdbqt
temazepam,alpha1,2026091903,1,-9.786,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/temazepam.tar.gz::temazepam/alpha1/2026091903/poses.pdbqt,-9.786,True,1,9,ok,1,-9.786,runs/20260919_0724_10drug_standardized_redocking/raw/archives/temazepam.tar.gz::temazepam/alpha1/2026091903/poses.pdbqt
temazepam,alpha1,2026091904,1,-9.788,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/temazepam.tar.gz::temazepam/alpha1/2026091904/poses.pdbqt,-9.788,True,1,9,ok,1,-9.788,runs/20260919_0724_10drug_standardized_redocking/raw/archives/temazepam.tar.gz::temazepam/alpha1/2026091904/poses.pdbqt
temazepam,alpha1,2026091905,1,-9.788,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/temazepam.tar.gz::temazepam/alpha1/2026091905/poses.pdbqt,-9.788,True,1,9,ok,1,-9.788,runs/20260919_0724_10drug_standardized_redocking/raw/archives/temazepam.tar.gz::temazepam/alpha1/2026091905/poses.pdbqt
temazepam,alpha2,2026091901,1,-6.913,0.0,0.0,runs/20260919_0724_10drug_standardized_redocking/raw/archives/temazepam.tar.gz::temazepam/alpha2/2026091901/poses.pdbqt,-6.913,True,1,9,ok,1,-6.913,runs/20260919_0724_10drug_standardized_redocking/raw/archives/temazepam.tar.gz::temazepam/alpha2/2026091901/poses.pdbqt
